zip_code,county_name,state,avg_home_price,avg_annual_appreciation
60629,Cook County,IL,266944.26820462145,0.03831
60618,Cook County,IL,752218.559574137,0.040279999999999996
60639,Cook County,IL,330146.24328344234,0.04529
60647,Cook County,IL,805475.0694851052,0.04891
60804,Cook County,IL,270501.2985429983,0.038650000000000004
60632,Cook County,IL,280176.153813068,0.03639
60617,Cook County,IL,175183.4018716259,0.03739
60608,Cook County,IL,397789.87579465215,0.04015
60625,Cook County,IL,657654.2501286604,0.04247
60623,Cook County,IL,218151.6171085985,0.03256
60634,Cook County,IL,386115.48600219283,0.03515
60657,Cook County,IL,1163820.1301228849,0.028290000000000003
60614,Cook County,IL,1380515.7098497394,0.025339999999999998
60620,Cook County,IL,180411.58167204572,0.03837
60641,Cook County,IL,439969.30137627857,0.03545
60640,Cook County,IL,922909.5307078342,0.04086
60628,Cook County,IL,149638.78520286514,0.0345
60609,Cook County,IL,246468.89394529993,0.0348
60402,Cook County,IL,313885.8417158104,0.0345
60651,Cook County,IL,281029.5901745529,0.04703
60619,Cook County,IL,172434.3869534109,0.035539999999999995
60638,Cook County,IL,323403.93188656477,0.03373
60453,Cook County,IL,322940.9478003806,0.02927
60016,Cook County,IL,406412.2464985184,0.03245
60056,Cook County,IL,482256.07667252637,0.028530000000000003
60630,Cook County,IL,440911.41138954624,0.03458
60622,Cook County,IL,1006491.9913223818,0.03858
60411,Cook County,IL,175298.122317643,0.03207
60004,Cook County,IL,550701.4397238827,0.02962
60120,Cook County,IL,305118.0127763816,0.036610000000000004
60626,Cook County,IL,447549.6546829738,0.04604
60613,Cook County,IL,1186340.4555556206,0.03469
60649,Cook County,IL,186267.450745796,0.02625
60616,Cook County,IL,510732.1235931332,0.03077
60643,Cook County,IL,234787.73969948807,0.021419999999999998
60645,Cook County,IL,502772.1429739169,0.04032
60644,Cook County,IL,227107.58130021647,0.043280000000000006
60637,Cook County,IL,254629.66425998334,0.01126
60659,Cook County,IL,507693.11278955365,0.038149999999999996
60067,Cook County,IL,546220.4674337546,0.025009999999999998
60062,Cook County,IL,829864.2186583708,0.02804
60660,Cook County,IL,703908.8766184157,0.04486
60707,Cook County,IL,376306.0547975139,0.03094
60652,Cook County,IL,271069.7494845186,0.03537
60610,Cook County,IL,858639.8733059521,0.02697
60193,Cook County,IL,435605.2894570127,0.028929999999999997
60615,Cook County,IL,565050.1368661813,0.03189
60025,Cook County,IL,752309.6610496148,0.026629999999999997
60462,Cook County,IL,416076.2741679044,0.02642
60107,Cook County,IL,333880.58675851405,0.0329
60068,Cook County,IL,633760.4853281846,0.023639999999999998
60477,Cook County,IL,336003.35378094856,0.024319999999999998
60090,Cook County,IL,358427.7291885346,0.028239999999999998
60201,Cook County,IL,836107.52156367,0.03078
60624,Cook County,IL,228525.47719216274,0.03042
60074,Cook County,IL,421786.63822954014,0.02787
60202,Cook County,IL,558983.3301029915,0.0285
60409,Cook County,IL,160927.96251601947,0.0278
60611,Cook County,IL,675860.584768317,0.011430000000000001
60653,Cook County,IL,444442.6497492322,0.03461
60612,Cook County,IL,454038.7748337206,0.045270000000000005
60007,Cook County,IL,429830.8711589179,0.03204
60302,Cook County,IL,690351.8182693119,0.02841
60076,Cook County,IL,470815.2109450836,0.028239999999999998
60631,Cook County,IL,487989.9917753201,0.03076
60714,Cook County,IL,437359.4754770465,0.027200000000000002
60636,Cook County,IL,135653.17019597802,0.04655
60169,Cook County,IL,382494.8964910019,0.03182
60525,Cook County,IL,613921.0613844654,0.030369999999999998
60438,Cook County,IL,207333.28960978065,0.02887
60607,Cook County,IL,759141.7440968025,0.02809
60018,Cook County,IL,392709.2102648474,0.03165
60646,Cook County,IL,559349.2885869426,0.03108
60005,Cook County,IL,566388.2528323292,0.03003
60655,Cook County,IL,329299.39079088834,0.03149
60077,Cook County,IL,441648.0777620965,0.028069999999999998
60605,Cook County,IL,640926.5162534345,0.02239
60459,Cook County,IL,310305.26519062533,0.03152
60621,Cook County,IL,124331.68133307049,0.03546
60091,Cook County,IL,1072591.9064167088,0.02698
60487,Cook County,IL,409303.9743593209,0.02453
60452,Cook County,IL,310891.49402808474,0.02774
60706,Cook County,IL,417372.3179581856,0.023940000000000003
60053,Cook County,IL,457043.6581169058,0.02743
60439,Cook County,IL,587271.2651695029,0.029910000000000003
60160,Cook County,IL,326458.3336483261,0.03456
60467,Cook County,IL,511752.23849608033,0.02566
