zip_code,county_name,state,avg_home_price,avg_annual_appreciation
98052,King County,WA,1577142.1714201246,0.05864
98105,King County,WA,1309931.4142109787,0.043949999999999996
98092,King County,WA,710110.1609093832,0.04103
98115,King County,WA,1137447.6915412885,0.04724999999999999
98023,King County,WA,638462.6294999695,0.04414
98103,King County,WA,1007971.8876306532,0.04625
98003,King County,WA,625169.9745040298,0.044059999999999995
98042,King County,WA,718260.2768669644,0.04303
98034,King County,WA,1211691.834343074,0.05729
98133,King County,WA,814556.954019959,0.04889
98118,King County,WA,767181.6958758729,0.047510000000000004
98125,King County,WA,880522.5987422668,0.04812
98031,King County,WA,693785.3637686569,0.04417
98058,King County,WA,773481.4134080666,0.04582
98122,King County,WA,957440.6058274467,0.040839999999999994
98032,King County,WA,603908.0613257214,0.045810000000000003
98059,King County,WA,1022778.0052679074,0.04829
98033,King County,WA,1923328.3795670886,0.05971
98004,King County,WA,3172830.685709232,0.05972
98006,King County,WA,1823777.1733049098,0.059050000000000005
98001,King County,WA,649336.0643468869,0.04397
98117,King County,WA,1025931.2810315224,0.048339999999999994
98030,King County,WA,676438.8343128245,0.04348
98056,King County,WA,938221.6979971472,0.0483
98155,King County,WA,882534.5073427487,0.050339999999999996
98198,King County,WA,635299.6536890529,0.04402999999999999
98168,King County,WA,603945.2596457716,0.04658
98002,King County,WA,526488.1578123715,0.04304
98038,King County,WA,816218.8730936901,0.04476
98109,King County,WA,1329108.0418448283,0.04627
98040,King County,WA,2468135.7231541164,0.04724999999999999
98029,King County,WA,1437126.3099968946,0.053899999999999997
98027,King County,WA,1350952.2816180151,0.051699999999999996
98074,King County,WA,1679784.0222086504,0.05598
98146,King County,WA,715353.0251985155,0.04469
98144,King County,WA,830577.421986637,0.04383
98007,King County,WA,1415725.847070205,0.05883
98072,King County,WA,1399473.758564606,0.05053
98011,King County,WA,1176746.967047109,0.052910000000000006
98188,King County,WA,636804.079430573,0.04658
98008,King County,WA,1514527.6151316855,0.05947
98107,King County,WA,935992.9157857747,0.045090000000000005
98106,King County,WA,687795.5717273005,0.04867
98178,King County,WA,679879.1176103136,0.0464
98116,King County,WA,1080557.986643391,0.04244
98075,King County,WA,1892648.306864486,0.052779999999999994
98108,King County,WA,708523.690673531,0.04932
98112,King County,WA,1563603.8227357112,0.03999
98028,King County,WA,1121168.9689163666,0.053630000000000004
98119,King County,WA,1302632.0979031145,0.04733
98055,King County,WA,734995.3643290964,0.04662
98053,King County,WA,1532491.38005569,0.05023
98126,King County,WA,805016.6800522533,0.04594
98199,King County,WA,1384616.5955462228,0.04559
98177,King County,WA,1191076.6739944853,0.046479999999999994
98022,King County,WA,691795.1566134938,0.04295
98102,King County,WA,1163783.570698335,0.03648
98166,King County,WA,878286.490136078,0.047569999999999994
98005,King County,WA,1931546.5850113363,0.05917
98136,King County,WA,1004175.5826838264,0.04337
98045,King County,WA,1050958.323378668,0.04781
98077,King County,WA,1536830.9099064365,0.05024
98057,King County,WA,636499.6101628845,0.04522
98065,King County,WA,1180917.975503113,0.04903
98019,King County,WA,987265.4715660383,0.048010000000000004
98070,King County,WA,929384.6326719703,0.04579
98148,King County,WA,648706.5208625187,0.04282
98014,King County,WA,1038513.7213958238,0.045880000000000004
98051,King County,WA,906880.9457919807,0.044480000000000006
98010,King County,WA,794558.300002023,0.045759999999999995
98024,King County,WA,1279664.23254713,0.0473
98047,King County,WA,561307.5425637268,0.04743
98039,King County,WA,4595494.265616852,0.055540000000000006
