zip_code,county_name,state,avg_home_price,avg_annual_appreciation
48180,Wayne County,MI,178638.56716857015,0.03427
48228,Wayne County,MI,69604.50633329291,0.024380000000000002
48126,Wayne County,MI,234091.11957579697,0.035339999999999996
48187,Wayne County,MI,412013.6420497492,0.02841
48185,Wayne County,MI,234797.88339734543,0.034140000000000004
48235,Wayne County,MI,93081.06033080298,0.04092
48188,Wayne County,MI,458724.90561644983,0.02849
48183,Wayne County,MI,265608.7227764188,0.03097
48111,Wayne County,MI,322166.81163104204,0.03598
48212,Wayne County,MI,124751.66871282365,0.051609999999999996
48170,Wayne County,MI,515480.08306131006,0.03167
48224,Wayne County,MI,83155.47331274972,0.018600000000000002
48127,Wayne County,MI,266611.0597529117,0.03291
48221,Wayne County,MI,136205.61668102528,0.043250000000000004
48227,Wayne County,MI,68707.45215866307,0.03334
48146,Wayne County,MI,152956.3005744002,0.033690000000000005
48154,Wayne County,MI,341375.05438072333,0.027149999999999997
48239,Wayne County,MI,176762.84455891044,0.03582
48186,Wayne County,MI,201162.25731376107,0.03579
48124,Wayne County,MI,241929.44666158585,0.02952
48174,Wayne County,MI,211678.8147469441,0.03032
48205,Wayne County,MI,52639.954632679546,0.03979
48236,Wayne County,MI,401739.17843031004,0.02451
48152,Wayne County,MI,342974.6035560392,0.02451
48195,Wayne County,MI,196537.00297419835,0.030299999999999997
48101,Wayne County,MI,210995.01461900747,0.03169
48209,Wayne County,MI,89753.20528954077,0.063
48210,Wayne County,MI,70046.92481994849,0.052750000000000005
48135,Wayne County,MI,203183.4532587965,0.03173
48150,Wayne County,MI,281554.2727294127,0.02812
48141,Wayne County,MI,110246.48249461288,0.051269999999999996
48167,Wayne County,MI,586616.6259360113,0.02545
48223,Wayne County,MI,88918.26809194405,0.01625
48192,Wayne County,MI,188758.04243320867,0.02322
48238,Wayne County,MI,53615.24546888259,0.03249
48168,Wayne County,MI,758158.6851969265,0.02495
48125,Wayne County,MI,163962.82098405485,0.03236
48204,Wayne County,MI,53297.11567263792,0.04611
48134,Wayne County,MI,312947.1362429766,0.0338
48213,Wayne County,MI,46663.394706797175,0.03501
48184,Wayne County,MI,173467.60310017815,0.03338
48240,Wayne County,MI,155867.71158079925,0.03561
48230,Wayne County,MI,510161.2041907609,0.02714
48193,Wayne County,MI,257006.27285949464,0.030379999999999997
48201,Wayne County,MI,485999.9459768342,0.04704
48202,Wayne County,MI,174332.82832062364,0.027120000000000002
48206,Wayne County,MI,88597.72421898406,0.01924
48225,Wayne County,MI,158288.67142520545,0.025910000000000002
48173,Wayne County,MI,265478.98098355596,0.02733
48122,Wayne County,MI,139408.06573525505,0.02318
48128,Wayne County,MI,309274.24991962686,0.0358
48164,Wayne County,MI,349771.9343685194,0.02962
48215,Wayne County,MI,90837.78214953358,0.02198
48138,Wayne County,MI,426994.143011102,0.02996
48218,Wayne County,MI,86509.56636190934,0.05534
