"regionname","countyname","state","first_date","last_date","?column?","appreciation"
"60656","Cook County","IL",194023.39075789915,436200.0825970178,325,NULL
"60426","Cook County","IL",NULL,105785.54478510928,325,NULL
"60803","Cook County","IL",117583.24163187355,280167.85359183815,325,NULL
"60131","Cook County","IL",132852.56963347364,315275.2541425301,325,NULL
"60008","Cook County","IL",186615.507815979,387032.4311580484,325,NULL
"60654","Cook County","IL",NULL,1037907.8190312699,325,NULL
"60419","Cook County","IL",73914.9971419316,155835.27408175828,325,NULL
"60194","Cook County","IL",160412.61200664582,395080.0721965609,325,NULL
"60093","Cook County","IL",831555.6189886391,1689533.0062017993,325,NULL
"60430","Cook County","IL",122120.5527092421,267941.9164256798,325,NULL
"60164","Cook County","IL",126503.84264199766,311372.14766515023,325,NULL
"60513","Cook County","IL",154335.4767186467,355799.9929244264,325,NULL
"60466","Cook County","IL",69583.71275183155,157461.25879511712,325,NULL
"60805","Cook County","IL",120829.55072393086,287659.5965639046,325,NULL
"60104","Cook County","IL",82740.17157295307,250519.61585979676,325,NULL
"60455","Cook County","IL",135785.41502367056,317452.5281461792,325,NULL
"60304","Cook County","IL",201739.20597628402,530431.2734429744,325,NULL
"60465","Cook County","IL",177971.52519690144,375108.0617536283,325,NULL
"60546","Cook County","IL",212541.94169331016,437680.119475009,325,NULL
"60070","Cook County","IL",268846.5949400998,542190.1921357295,325,NULL
"60154","Cook County","IL",174745.07620885177,362288.0899854556,325,NULL
"60429","Cook County","IL",58406.771765965736,185005.99640938148,325,NULL
"60445","Cook County","IL",117208.56706473492,257345.0865683786,325,NULL
"60457","Cook County","IL",166934.1403147453,356776.34325211117,325,NULL
"60173","Cook County","IL",267940.1331387571,533164.1360966457,325,NULL
"60463","Cook County","IL",215766.10610943782,425680.74409643613,325,NULL
"60478","Cook County","IL",100837.83105119056,214345.10284460033,325,NULL
"60633","Cook County","IL",63463.18882801025,191336.84424986943,325,NULL
"60130","Cook County","IL",113466.03787671801,379481.5587942282,325,NULL
"60026","Cook County","IL",470405.5500472341,864788.6943130242,325,NULL
"60526","Cook County","IL",210343.0583558616,500658.925535612,325,NULL
"60458","Cook County","IL",133309.6088092857,311814.7346458868,325,NULL
"60712","Cook County","IL",329918.06756866584,576986.3926950764,325,NULL
"60415","Cook County","IL",129988.52207401814,292389.11620819784,325,NULL
"60558","Cook County","IL",429963.8175795013,907366.8950166581,325,NULL
"60428","Cook County","IL",46533.843780223855,152870.62064710984,325,NULL
"60192","Cook County","IL",222350.86012554498,505291.9309170723,325,NULL
"60501","Cook County","IL",92876.42796858061,274045.69991590694,325,NULL
"60422","Cook County","IL",177189.62172439,347002.12919597555,325,NULL
"60176","Cook County","IL",152863.97605803268,345011.59160668455,325,NULL
"60305","Cook County","IL",417183.3687079881,929957.796900116,325,NULL
"60471","Cook County","IL",97163.94445717821,224920.58041871458,325,NULL
"60534","Cook County","IL",107101.13052458725,282316.31053954427,325,NULL
"60418","Cook County","IL",NULL,315049.5925513803,325,NULL
"60482","Cook County","IL",124331.53338541315,296014.9360280829,325,NULL
"60661","Cook County","IL",NULL,682367.4418914756,325,NULL
"60475","Cook County","IL",131168.67355302194,172176.03486956787,325,NULL
"60464","Cook County","IL",276335.2734961578,580557.6797359076,325,NULL
"60162","Cook County","IL",109299.6855041182,294499.22776070255,325,NULL
"60171","Cook County","IL",151492.87095332635,332305.35756889055,325,NULL
"60022","Cook County","IL",781077.6190496263,1643891.1718985736,325,NULL
"60155","Cook County","IL",104238.29076191552,274081.53380846395,325,NULL
"60425","Cook County","IL",77120.41862242496,226782.12485897946,325,NULL
"60195","Cook County","IL",194624.2475358985,512625.65489958227,325,NULL
"60461","Cook County","IL",176928.8799572373,338490.78631125746,325,NULL
"60480","Cook County","IL",205397.49574001753,418440.7878325788,325,NULL
"60472","Cook County","IL",20479.32833156497,115187.90727386263,325,NULL
"60469","Cook County","IL",94355.47779234161,193684.54270568665,325,NULL
"60163","Cook County","IL",126828.30869838582,297775.4341096428,325,NULL
"60203","Cook County","IL",301747.96995756053,637497.3230016071,325,NULL
"60165","Cook County","IL",89212.79433466868,263025.0624303563,325,NULL
"60456","Cook County","IL",75726.55815925414,213985.7410973302,325,NULL
"60476","Cook County","IL",88549.84532897362,180546.02841582953,325,NULL
"60043","Cook County","IL",1025755.5728416691,2098525.4766322817,325,NULL
"60029","Cook County","IL",500384.19692164625,1286814.4366020148,325,NULL
